track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
Why'd You Only Call Me When You're High?,1,2013,1,1,23389,29,1267333350.0,54,70,36.0,2,1.0,92,D,Major,70,81,63,4,0,8,4,Arctic Monkeys
Wild Flower (with youjeen),1,2022,12,2,353,2,135611421.0,2,74,14.0,0,2.0,155,G#,Major,49,42,77,3,0,12,9,RM
With you,2,2022,4,24,343,2,240580042.0,4,35,11.0,1,1.0,150,D#,Major,53,14,43,64,0,13,3,HA SUNG WOON
With you,2,2022,4,24,343,2,240580042.0,4,35,11.0,1,1.0,150,D#,Major,53,14,43,64,0,13,3,Jimin
Without Me,1,2002,1,1,21081,43,1687664027.0,98,76,36.0,5,0.0,112,G,Major,92,67,66,0,0,36,9,Eminem
Woman,1,2021,6,25,9424,0,1329090101.0,202,50,463.0,4,2.0,108,F,Minor,82,88,76,9,0,12,9,Doja Cat
Wonderful Christmastime - Edited Version / Remastered 2011,1,1979,11,16,1685,0,403939487.0,1,0,29.0,0,0.0,95,B,Major,75,74,58,36,0,9,3,Paul McCartney
Worldwide Steppers,1,2022,5,13,1480,0,61739839.0,1,0,5.0,0,0.0,72,A#,Minor,56,56,47,76,0,8,36,Kendrick Lamar
Worst Day,1,2022,2,11,910,0,50746620.0,20,3,24.0,0,0.0,89,C#,Major,65,60,60,11,0,10,40,Future
"Would've, Could've, Should've",1,2022,10,21,1715,0,177503916.0,4,5,8.0,0,0.0,158,G,Major,48,55,84,43,0,15,12,Taylor Swift
X SI VOLVEMOS,2,2023,2,2,2127,33,266624541.0,45,80,53.0,8,4.0,178,C#,Minor,79,58,78,34,0,11,25,Karol G
